CUMULATIVE NETSIM STATISTICS AT TIME 13:57: 0
ELAPSED TIME IS  0:33: 0 ( 1980 SECONDS),    TIME PERIOD  1 ELAPSED TIME IS 1980 SECONDS
UpNode,DownNode,TravelDistanceTotal,Trips,MoveTimeTotal,DelayTravelTotal,TravelTimeTotal,MoveTimePerTravelTimeRatio,TravelTimePerDistanceTraveled,DelayTravelPerDistanceTraveled,TravelTimePerVehicle,DelayTravelPerVehicle,DelayControlPerVehicle,DelayQueuePerVehicle,DelayStopPerVehicle,StoppedVehiclesPercent,Volume,SpeedAverage,
Up Node,Down Node,Travel Distance Total,Trips,Move Time Total,Delay Travel Total,Travel Time Total,Move Time Per Travel Time Ratio,Travel Time Per DistanceT raveled,Delay Travel Per Distance Traveled,Travel Time Per Vehicle,Delay Travel Per Vehicle,Delay Control Per Vehicle,Delay Queue Per Vehicle,Delay Stop Per Vehicle,Stopped Vehicles Percent,Volume,Speed Average,
   103,   102,     105.338,     214.000,     210.677,      15.907,     226.583,       0.930,       2.151,       0.151,      61.586,       4.297,       1.260,       0.110,       0.101,       5.607,     389.288,      27.894,
   102,   103,      53.649,     109.000,     107.298,       4.552,     111.850,       0.959,       2.085,       0.085,      60.866,       2.447,       0.105,       0.000,       0.000,       0.000,     198.282,      28.779,
   102,   101,      68.312,     135.000,     136.625,       4.058,     140.683,       0.971,       2.059,       0.059,      60.580,       1.794,       0.065,       0.000,       0.000,       0.000,     245.579,      29.135,
   101,   102,      74.669,     147.000,     149.339,      13.745,     163.083,       0.916,       2.184,       0.184,      65.299,       5.511,       1.669,       0.747,       0.714,      12.245,     267.408,      27.472,
   101,   100,       3.883,     134.000,       7.766,       0.351,       8.117,       0.957,       2.090,       0.090,       3.615,       0.163,       0.000,       0.000,       0.000,       0.000,     243.759,      28.704,
   100,   101,       4.463,     154.000,       8.925,       0.525,       9.450,       0.944,       2.118,       0.118,       3.671,       0.210,       0.000,       0.000,       0.000,       0.000,     280.141,      28.333,
   100,    99,      26.323,     133.000,      52.646,       1.521,      54.167,       0.972,       2.058,       0.058,      24.276,       0.688,       0.034,       0.000,       0.000,       0.000,     241.940,      29.158,
    99,   100,      30.677,     155.000,      61.354,       3.629,      64.983,       0.944,       2.118,       0.118,      24.987,       1.419,       0.076,       0.000,       0.000,       0.000,     281.961,      28.325,
    99,    98,      15.995,     127.000,      31.991,       4.376,      36.367,       0.880,       2.274,       0.274,      16.902,       2.057,       1.157,       0.233,       0.233,       7.874,     231.026,      26.390,
    98,    99,      19.769,     157.000,      39.539,       2.795,      42.333,       0.934,       2.141,       0.141,      16.025,       1.067,       0.013,       0.006,       0.006,       0.000,     285.599,      28.020,
    98,    97,      15.279,     113.000,      30.559,       2.158,      32.717,       0.934,       2.141,       0.141,      17.372,       1.146,       0.000,       0.000,       0.000,       0.000,     205.558,      28.021,
    97,    98,      38.659,     280.000,      77.318,      11.232,      88.550,       0.873,       2.291,       0.291,      18.748,       2.377,       0.933,       0.122,       0.122,       5.000,     509.348,      26.195,
    97,  6001,       3.553,     113.000,       7.105,       0.561,       7.667,       0.927,       2.158,       0.158,       4.071,       0.298,       0.001,       0.000,       0.000,       0.000,     205.558,      27.803,
  6001,    97,       8.992,     286.000,      17.983,       0.367,      18.350,       0.980,       2.041,       0.041,       3.850,       0.077,       0.005,       0.000,       0.000,       0.000,     520.263,      29.401,
  6001,    96,      21.906,     111.000,      43.811,       1.155,      44.967,       0.974,       2.053,       0.053,      24.071,       0.631,       0.006,       0.000,       0.000,       0.000,     201.920,      29.229,
    96,  6001,      56.442,     286.000,     112.883,       6.033,     118.917,       0.949,       2.107,       0.107,      24.664,       1.298,       0.049,       0.000,       0.000,       0.000,     520.263,      28.478,
    96,    95,      36.498,     107.000,      72.995,       2.588,      75.583,       0.966,       2.071,       0.071,      41.802,       1.363,       0.030,       0.000,       0.000,       0.000,     194.644,      28.973,
    95,    96,     100.624,     295.000,     201.248,      10.869,     212.117,       0.949,       2.108,       0.108,      42.813,       2.204,       0.121,       0.000,       0.000,       0.000,     536.635,      28.463,
    95,    94,      29.900,     104.000,      59.800,       2.317,      62.117,       0.963,       2.077,       0.077,      35.290,       1.327,       0.000,       0.000,       0.000,       0.000,     189.186,      28.881,
    94,    95,      86.250,     300.000,     172.500,      10.400,     182.900,       0.943,       2.121,       0.121,      36.472,       2.066,       0.079,       0.000,       0.000,       0.000,     545.730,      28.294,
